ID,Name,PocketAuthorId,Bluesky,BlueskyDid,LinkedIn,Twitter,Mastodon,YouTube,TikTok,MVP,GitHub,IsMicrosoft,Site,Email
13,Charbel Nemnom,,charbelnemnom.com,did:plc:ar6vdm6a2q5u4p7733y3k3lu,https://www.linkedin.com/in/cnemnom/,https://twitter.com/CHARBELNEMNOM,,https://www.youtube.com/@CharbelNemnom,,,,No,https://charbelnemnom.com/,
14,Chris Hudson,,,,https://www.linkedin.com/in/threesixtychris/,https://twitter.com/threesixtychris,,https://www.youtube.com/channel/UC1dsV2gq2K0tn9-zkRvARJQ,,,,No,https://www.threesixtythrive365.com/,
15,Christian Ritter,,,,https://www.linkedin.com/in/christian-ritter-9661a41b2/,,,,,,,No,,
16,Clément Notin,,,,https://www.linkedin.com/in/clementnotin/,https://twitter.com/cnotin,,,,,,No,https://medium.com/tenable-techblog,
17,Daniel Bradley,,danielbradley.bsky.social,did:plc:mnw5kgad32i2ylajujim3qju,https://www.linkedin.com/in/danielbradley2,https://twitter.com/DanielatOCN,,,,,,No,https://ourcloudnetwork.com/,
18,Daniel Krzyczkowski,174458590,,,https://www.linkedin.com/in/daniel-krzyczkowski,https://twitter.com/Dkrzyczkowski,,https://www.youtube.com/channel/UCd1ok8ZkihdRBd8xqcbzxBw,,,https://github.com/daniel-krzyczkowski,,https://formula5.com,
19,David Okeyode,,,,https://www.linkedin.com/in/david-o-b3376033/,https://twitter.com/asegunlolu,,,,,,No,https://davidokeyode.medium.com/,
20,Erica Zelic,,,,https://www.linkedin.com/in/erica-z-b4169598/,https://twitter.com/EricaZelic,,,,,,No,https://ericazelic.medium.com/,
21,Florian Salzmann,,elflorian.ch,did:plc:2vpeueulgk3izdh5uoyyv7li,https://www.linkedin.com/in/fsalzmann,https://twitter.com/FlorianSLZ,,,,,https://github.com/FlorianSLZ,No,https://scloud.work/,
22,Gannon Novak,,,,https://www.linkedin.com/in/gannon-n/,,,,,,,No,https://smbtothecloud.com/,
23,Hans Brender,,,,https://www.linkedin.com/in/hansbrender/,https://twitter.com/HansBrender,https://mastodon.social/,https://www.youtube.com/@HansBrender,,,,No,https://hansbrender.com/,Hans.Brender@Hbsoft.de
24,Jeff Brown,,,,https://www.linkedin.com/in/jeffbrowntech,https://twitter.com/jeffwbrown,,https://www.youtube.com/@jeffbrowntech,,,,No,https://jeffbrown.tech/,
25,John Kilmister,,johnkilmister.bsky.social,did:plc:zvsdlew6kuosibcvsltuv2jz,https://www.linkedin.com/in/johnkilmister/,https://twitter.com/johnkilmister,,https://www.youtube.com/@blueboxes,,https://mvp.microsoft.com/en-us/PublicProfile/5004813,https://github.com/blueboxes,No,https://www.blueboxes.co.uk/,
26,John Savill,157211837,savilltech.com,did:plc:scq7triplehxa5kvlscbjgq6,https://www.linkedin.com/in/john-savill/,https://twitter.com/NTFAQGuy,,,,,,Yes,https://savilltech.com/,
27,Jon Towles,,mobilejon.bsky.social,did:plc:bd5yeki5mlvcn4nikkhg5dog,https://www.linkedin.com/in/jontowles/,https://twitter.com/m0bilej0n,,https://www.youtube.com/channel/UCJBM-j8va7lrwTZBWSXt7vw,,,,No,https://mobile-jon.com/,
28,Joosua Santasalo,,,,https://www.linkedin.com/in/joosua-santasalo-00552922/,https://twitter.com/SantasaloJoosua,,,,,,No,https://securecloud.blog/,
29,Julian Jakob,,,,https://www.linkedin.com/in/julian-jakob-a648ab221/,https://twitter.com/jakob_davidson,,,,,,,https://www.julianjakob.com,
30,Julian Rasmussen,,julianrasmussen.bsky.social,did:plc:x26mjqeygg437p66fvwrwzie,https://www.linkedin.com/in/julianrasmussen/,https://twitter.com/JulianRasmussen,,,,,https://github.com/jurasmus,No,https://idefixwiki.no/,
31,Lukas Beran,,lukasberan.com,did:plc:azedaxsia6qlymzwsqodkigs,https://www.linkedin.com/in/lukasberan/,https://twitter.com/lukasberancz,,,,,,No,https://www.cswrld.com,
32,Martin Rothe,,,,https://www.linkedin.com/in/martinrothe/,https://twitter.com/m_rothe,https://infosec.exchange/@m_rothe,,,,https://github.com/mrrothe,No,https://blog.rothe.uk/,martin@rothe.uk
33,Mauricio Velazco,,,,https://www.linkedin.com/in/mauricio-velazco-4314b51a/,https://twitter.com/mvelazco,,,,,https://github.com/mvelazc0,No,https://www.splunk.com/,
34,Michael Duddington,,,,https://www.linkedin.com/company/secured-iam,,,,,,,No,https://securediam.com/,
35,Michael Morten Sonne,,,,https://www.linkedin.com/in/michaelmsonne/,,,,,,https://github.com/michaelmsonne,,https://blog.sonnes.cloud/,
36,Myron Helgering,,,,https://www.linkedin.com/in/myronhelgering,https://twitter.com/MyronHelgering,,https://www.youtube.com/channel/UCe2MK4z2OHdKzX-vVZtc_iQ,,,,No,https://myronhelgering.com/,
37,Niels Kok,,,,https://www.linkedin.com/in/niels-kok-79823360/,https://twitter.com/NielsKok5,,,,,,No,https://www.nielskok.tech/,
38,Niklas Rast,,,,https://www.linkedin.com/in/niklasrast/,https://twitter.com/niklasrast,,,,,https://github.com/niklasrast,No,https://niklasrast.com/,
39,Niklas Tinner,156953157,,,https://www.linkedin.com/in/niklas-tinner,https://twitter.com/NiklasTinner,,https://www.youtube.com/@oceanleafnt,,,https://github.com/thenikk,No,https://oceanleaf.ch/,
40,Office 365 Reports,,,,https://www.linkedin.com/groups/8843951/,https://twitter.com/365Reports,,,,,,No,https://o365reports.com/,
41,Oliver Müller,,oliver-mueller.bsky.social,,https://www.linkedin.com/in/oliver-mueller,,,,,https://mvp.microsoft.com/en-us/MVP/profile/a08697c8-671b-4f8e-80b9-fb8da78d9a30,https://github.com/oliver-mueller-cc,No,https://www.cloudcoffee.ch/,
42,Paul Winstanley,,,,https://www.linkedin.com/in/pwinstanley,https://twitter.com/SCCMentor,,,,,,No,https://sccmentor.com/,
43,Peter Klapwijk,,peter.inthecloud247.com,did:plc:hl4vvwkfaixvpmfl4lb6ylpt,https://www.linkedin.com/in/dpklapwijk,https://twitter.com/inthecloud_247,,,,,https://github.com/PeterKlapwijk,No,https://www.inthecloud247.com/,
44,Pim Jacobs,,,,https://www.linkedin.com/in/pimjacobs89/,https://twitter.com/pimjacobs89,,,,,,No,https://identity-man.eu/,
45,Prajwal Desai,,,,https://www.linkedin.com/in/prajwaldesai/,https://twitter.com/PrajwalDesai,,https://www.youtube.com/channel/UCoz4eku2gk65ZSemg85qbEQ,,,https://github.com/PrajwalDesai,No,https://www.prajwaldesai.com,
46,Prudhvi Keertipati,,,,https://www.linkedin.com/in/prudhvi-keertipati/,,,,,,,No,https://zerotrust.how/,
47,Rio Hindle,183474166,,,https://www.linkedin.com/in/riohindle/,,,https://www.youtube.com/@RioCloudSync,,,,No,,
48,Robbe Van den Daele,,,,https://www.linkedin.com/in/robbe-van-den-daele-677986190/,,,,,,,No,https://hybridbrothers.com/,
49,Rod Trent,,rodtrent.bsky.social,did:plc:slyb6dtlemv6ucoymlcufuan,https://www.linkedin.com/in/rodtrent,https://twitter.com/rodtrent,,https://www.youtube.com/rodtrent,,,,,https://rodtrent.substack.com,
50,Edwin David,188141567,,,https://www.linkedin.com/in/edpd,https://twitter.com/rootsecdev,,,,,https://github.com/rootsecdev,No,https://rootsecdev.medium.com,
51,Rory Braybrook,,,,https://www.linkedin.com/in/rory-braybrook-6050a521/,https://twitter.com/rbrayb,,,,,https://github.com/rbrayb,No,https://medium.com/the-new-control-plane,rbrayb@gmail.com
52,Sami Younis,,,,https://www.linkedin.com/in/sami-younis/,,,,,,,No,,
53,Shaun Hardneck,,,,https://www.linkedin.com/in/shaunhardneck/,https://twitter.com/ShaunHardneck,,https://www.youtube.com/c/ShaunHardneck1987/videos,,,https://github.com/thatlazyadmin,No,http://www.thatlazyadmin.com,shaun@thatlazyadmin.com
54,Silvio Di Benedetto,,,,https://www.linkedin.com/in/silviodibenedetto/,https://twitter.com/s_net,,https://www.youtube.com/@insidetechnologiesit,,https://mvp.microsoft.com/en-US/MVP/profile/13e968c6-3c9a-e411-93f2-9cb65495d3c4,,No,https://www.silviodibenedetto.com/,
55,Somesh Pathak,,,,https://www.linkedin.com/in/somesh-pathak-mvp-mct/,https://twitter.com/pathak_somesh,,,,https://mvp.microsoft.com/en-US/mvp/profile/eff86aaf-ff3e-ed11-bba3-000d3a197333,,No,https://www.intuneirl.com/,
56,Stephan Van Rooij,190847864,,,https://www.linkedin.com/in/stephanvanrooij,https://twitter.com/svrooij,https://dotnet.social/@svrooij,,,,https://github.com/svrooij,No,https://svrooij.io/,
57,Suryendu Bhattacharyya,,crookedbong.bsky.social,did:plc:edwj5m4dvrufn3dmn4al7wg3,https://www.linkedin.com/in/suryendu-bhattacharyya-032738138,https://twitter.com/crookedbong,,,,,https://github.com/suryendub,No,https://suryendub.github.io/,suryendubbhattacharyya@gmail.com
58,Thomas Naunheim,,naunheim.cloud,did:plc:52ejyrd52x6jzqku6bukfzkv,https://www.linkedin.com/in/thomasnaunheim/,https://twitter.com/thomas_live,https://infosec.exchange/@thomasnaunheim,,,,https://github.com/cloud-architekt,No,https://www.cloud-architekt.net/,
59,Tom Aafloen,,tomaafloen.bsky.social,did:plc:yr23n5yi4445yvuf6vf3u3sf,https://www.linkedin.com/in/tomaafloen/,https://twitter.com/TomAafloen,,,,,,No,https://mssec.wordpress.com/,
60,Tom Machado,,,,https://www.linkedin.com/in/tom-machado-7983aa178/,,,,,,,No,https://poemtomdm.fr/,
61,Tom Wechsler,,,,https://www.linkedin.com/in/tom-wechsler/,https://twitter.com/tomvideo2brain,,https://www.youtube.com/channel/UCTNeHOi-dFeMLPkrYA9VbHw,,,https://github.com/tomwechsler,No,https://www.winsolution.ch/,
62,Tony Redmond,121690190,tonyredmond.bsky.social,did:plc:jnojxkxptb32knzz2lhxatci,https://www.linkedin.com/in/tonyredmond/,https://twitter.com/12Knocksinna,,,,,,No,https://practical365.com/,
63,Torbjorn Granheden,,,,https://www.linkedin.com/in/mrtbone,https://twitter.com/mrtbone_se,https://mastodon.social/@mrtbone,,,,,No,https://www.tbone.se/,
64,Vasil Michev,,,,https://www.linkedin.com/in/michev/,,,,,https://mvp.microsoft.com/en-US/mvp/profile/0d9407f9-3c9a-e411-93f2-9cb65495d3c4,https://github.com/michevnew,No,https://www.michev.info/,
65,Vikas Sukhija,,,,https://www.linkedin.com/in/vikas-sukhija-mvp-57339917/,https://twitter.com/techwizardcloud,,,,https://mvp.microsoft.com/en-us/PublicProfile/5001317,,,https://techwizard.cloud,
66,Travis Roberts,123368673,ciraltos.bsky.social,did:plc:ggjpumu7mabb4z4ydc7vpwyo,https://www.linkedin.com/in/robertst/,https://twitter.com/Ciraltos,,https://www.youtube.com/channel/UCuB24cID6NnypDWSLe4gfqA,,,,,https://www.ciraltos.com,
67,Daichi Isami,,,,https://www.linkedin.com/in/daichi-isami-9b9b0621/,,,,,,,Yes,,
68,Irina Nechaeva,,,,https://www.linkedin.com/in/irinanechaeva/,,,,,,,Yes,,
69,Jan Bakker,,,,https://www.linkedin.com/in/jan-bakker/,https://twitter.com/janbakker_,,,,,,,https://janbakker.tech,info@janbakker.tech
70,Matthew Levy,,mattchatt.bsky.social,did:plc:lgog3uicapcu2ichso4hqw6o,https://www.linkedin.com/in/matthew-levy-170bbb21,https://twitter.com/mattchatt42,,https://www.youtube.com/channel/UCt23W3BFycb-ifZsPSqpjng,,,https://github.com/matthewjlevy,,https://mattchatt.co.za,
71,Markus Pitkäranta,,,,https://www.linkedin.com/in/markus-pitkaranta,https://twitter.com/pitkarantam,,,,,,,https://longbeach.cloud,
72,Nathan Hutchinson,,,,https://www.linkedin.com/in/natehutchinson/,,,,,,https://github.com/NateHutch365,,https://www.natehutchinson.co.uk,
73,Michael Meier,,,,https://www.linkedin.com/in/michael-meier-ba3b72210/,,,,,,https://github.com/mmeierm,,https://mikemdm.de,
74,Dániel Kovács,,,,https://www.linkedin.com/in/danielattila-kovacs/,,,,,,,,https://f12.hu,
75,Chander Mani Pandey,174002753,,,https://www.linkedin.com/in/chandermanipandey/,https://twitter.com/Mani_CMPandey,,https://www.youtube.com/@ChanderManiPandey,,,,,,
76,Rogier Dijkman,,rogierdijkman.bsky.social,did:plc:43fz32n25fl4f5rlvae3exlv,https://www.linkedin.com/in/rogierdijkman/,https://twitter.com/DijkmanRogier,,,,,,,https://rogierdijkman.medium.com,
77,Andy Robbins,143050819,,,https://www.linkedin.com/in/robbinsandy/,https://twitter.com/_wald0,,,,,,,https://medium.com/@_wald0,
78,Eric Mannon,,,,https://www.linkedin.com/in/emannon/,,,,,,,,https://www.linkedin.com/posts/emannon,
79,Nate Nelson,17335183,,,https://www.linkedin.com/in/nate-nelson-75589611b/,,,,,,,,,
80,Damien Bowden,,damienbod.bsky.social,did:plc:74evh6nlvnbawstd25fazmz4,https://www.linkedin.com/in/damien-bowden-42a450176/,https://twitter.com/damien_bod,,,,https://mvp.microsoft.com/en-us/PublicProfile/5002218?fullName=Damien%20%20Bowden,https://github.com/damienbod,,https://damienbod.com,
81,Peter Rising,179596044,,,https://www.linkedin.com/in/peterrising/,,,https://www.youtube.com/@peterrisingM365,,,,,,
82,Mark Tinderholt,180983973,markti.bsky.social,did:plc:wlp2sbuhzjznbhqxc4mertq5,https://www.linkedin.com/in/MarkTinderholt,https://twitter.com/MarkTinderholt,,https://www.youtube.com/@azure-terraformer,,,https://github.com/markti,,https://skycliffs.wordpress.com/,
83,Top Bird,188126123,,,,,,https://www.youtube.com/@Top_Bird,,,,,,
84,Jonathan Edwards,152512471,,,https://www.linkedin.com/in/jonathanjedwards/,,,,,,,,,
85,Derk van der Woude,,,,https://www.linkedin.com/in/derkvanderwoude/,https://twitter.com/DerkVanDerWoude,,,,,,,https://derkvanderwoude.medium.com,
86,Rudy Ooms,,,,https://www.linkedin.com/in/rudy-ooms-mvp-%F0%9F%87%B3%F0%9F%87%B1-90810136/,https://twitter.com/mister_mdm,,,,https://mvp.microsoft.com/en-us/PublicProfile/5004252?fullName=Rudy%20Ooms,,,https://call4cloud.nl,
87,Anjuli Jhakry,188417098,,,https://www.linkedin.com/in/anjuli-jhakry-1b8169116/,,,https://www.youtube.com/@CodeWithAnjuli,,,,,,
88,Damien Van Robaeys,,,,https://www.linkedin.com/in/damien-van-robaeys-mvp-2a648627/,https://twitter.com/syst_and_deploy,,https://www.youtube.com/@damienvanrobaeys9136,,,,,https://www.systanddeploy.com,
89,Marius Solbakken,,,,https://www.linkedin.com/in/mariussm/,https://twitter.com/mariussmellum,,,,,,,https://goodworkaround.com/,
90,Shobhit Sahay,,,,https://www.linkedin.com/in/shobhit-sahay-34882424/,https://twitter.com/ShobhitSahay88,,,,,,,,
91,Sander Berkouwer,,,,https://www.linkedin.com/in/sanderberkouwer/,https://twitter.com/SanderBerkouwer,,,,,,,https://dirteam.com,
92,Allen Visser,183852112,,,https://www.linkedin.com/in/allen-visser-56960021/,,,,,,,,https://allenvisser.azurewebsites.net,
93,Dean Cefola,123951372,,,https://www.linkedin.com/in/dean-cefola-2902934b/,https://twitter.com/MSAzureAcademy,,https://www.youtube.com/AzureAcademy,,,,,,
94,"Marius Sandbu, Marius Solbakken Mellum",,,,https://www.linkedin.com/company/cloudfirst-podcast,https://twitter.com/cloudfirstpod,,,,,,,https://cloudfirst.buzzsprout.com,
95,Flavio Meyer,188257530,,,https://www.linkedin.com/in/flaviomeyer/,,,,,,https://github.com/flaviomeyer,,https://duo-infernale.ch,
96,Michele Blum,188659002,,,https://www.linkedin.com/in/micheleblum/,,,,,,https://github.com/Quattro99,,https://duo-infernale.ch,
97,Nicklas Olsen,187308569,,,https://www.linkedin.com/in/nicklas-o-40337b205,,,,,,,,,
98,Shehan Perera,186729085,,,https://www.linkedin.com/in/shehanperera85/,https://twitter.com/Shehanperera85,,https://www.youtube.com/@emsroute,,https://mvp.microsoft.com/en-US/MVP/profile/fafff9c8-ff3e-ed11-bba3-000d3a197333,https://github.com/shehanperera85,,https://emsroute.com/,
99,Guillaume Bossiroy,175315592,,,https://www.linkedin.com/company/nviso-cyber,https://twitter.com/NVISO_Labs,,,,,,,https://blog.nviso.eu,research@nviso.eu
100,Fabian Bader,,bader.cloud,did:plc:wmmszkvbaszr22t7yveskqzf,https://www.linkedin.com/in/fabianbader,https://twitter.com/fabian_bader,https://infosec.exchange/@fabian_bader,,,,https://github.com/f-bader/,,https://cloudbrothers.info,
101,Thijs Lecomte,119102611,,,https://www.linkedin.com/in/thijs-lecomte-13a0bb7b/,https://twitter.com/thijslecomte,,,,,,,https://365bythijs.be,thijs.lecomte@hotmail.com
102,Benoit Lecours,185654564,,,,,,,,,,,https://www.systemcenterdudes.com,
103,Sarah Young,,sarahyo.com,did:plc:3g4boj6fp7p2qnhxlip7lgqo,https://www.linkedin.com/in/sarahyo16/,https://twitter.com/_sarahyo,,,,,,,https://www.sarahyoung.io/,
104,"Edward Walton, Andrea Fisher, Rod Trent, and Brodie Cassell",,,,https://www.linkedin.com/company/microsoft-security-insights-show/,https://twitter.com/SecInsightsShow,,,,,,,https://sites.libsyn.com/239753,
105,Simon Skotheimsvik,175864266,sskotheimsvik.bsky.social,did:plc:jsd42mucvn26b666i4g2yrjg,https://www.linkedin.com/in/simonskotheimsvik/,https://twitter.com/sskotheimsvik,,https://www.youtube.com/c/SimonSkotheimsvik,,,https://github.com/simonskotheimsvik,,https://skotheimsvik.no,
106,Gerry Hampson,,,,https://www.linkedin.com/in/gerry-hampson-2a961464/,,,,,,,,https://gerryhampsoncm.blogspot.com,
107,Muthupandi MK,,,,https://www.linkedin.com/in/muthupandi-m-k-05007415/,,,,,,,,https://mkm365.com,
108,Andrew Taylor,,andrewstaylor.com,did:plc:4weetj2jgbbwy4w6skoygrpm,https://www.linkedin.com/in/andrew-taylor-41707916/,,https://infosec.exchange/@andrewtaylor,,,,https://github.com/andrew-s-taylor,,https://andrewstaylor.com,
109,Joe Stocker,158577162,,,https://www.linkedin.com/in/jstocker101/,https://twitter.com/ITguySoCal,,,,https://mvp.microsoft.com/en-us/PublicProfile/5003929?fullName=Joe%20Stocker,,,https://thecloudtechnologist.com,
110,Will Francillette,176131983,,,https://www.linkedin.com/in/william-francillette-51496426/,https://twitter.com/WillTheFrenchie,,,,,https://github.com/William-Francillette/French365Connection,,https://www.french365connection.co.uk,
111,Jose Schenardie,,schenardie.bsky.social,did:plc:k3vhszfpd33p66admmhp4i5g,https://www.linkedin.com/in/schenardie,https://twitter.com/schenardie,,,,,https://github.com/schenardie,,https://intune.tech,jose@intune.tech
112,Tim Beer,,,,https://www.linkedin.com/in/tim-beer-7b882757,https://twitter.com/timbeer,,,,,,,https://timbeer.com,
113,Morten Knudsen,176197593,mortenknudsen.net,did:plc:4p3ooh7x25agubn567njegtp,https://www.linkedin.com/in/mortenwaltorpknudsen/,https://twitter.com/knudsenmortendk,,,,,,,https://mortenknudsen.net,
114,Truls Dahlsveen,,,,https://www.linkedin.com/in/truls-dahlsveen/,,,,,,,,https://www.infernux.no,jobb@infernux.no
115,Sune Thomsen,,sunethomsendk.bsky.social,did:plc:awj2s5zut4urwjj7pxdirx4s,https://www.linkedin.com/in/SuneThomsenDK,https://twitter.com/SuneThomsenDK,,,,https://mvp.microsoft.com/en-us/PublicProfile/5004649?fullName=Sune%20Thomsen,,,https://www.osdsune.com/,
116,HashiCorp,40622813,,,https://www.linkedin.com/company/hashicorp/,https://twitter.com/HashiCorp,,,,,,,,
117,Microsoft Security,134829027,,,https://www.linkedin.com/showcase/microsoft-security/,https://twitter.com/msftsecurity,,,,,,,,
118,nyxgeek,,,,,https://twitter.com/nyxgeek,,,,,https://github.com/nyxgeek,,,
119,Susanth Sutheesh,142028423,,,https://www.linkedin.com/in/susanthsutheesh/,,,,,,,,https://www.aguidetocloud.com/,
120,Will Velida,135852165,willvelida.com,did:plc:73txti6k6uinmgiwnkypkfco,https://www.linkedin.com/in/willvelida/,https://twitter.com/willvelida,,,,,https://github.com/willvelida,,https://www.willvelida.com/,
121,Workplace Ninja User Group Netherlands,148860374,,,,https://twitter.com/wpninjasnl,,,,,,,,
122,Matt Felton,69844807,,,https://www.linkedin.com/in/matthewfeltonma,,,,,,,,https://journeyofthegeek.com,
123,Dominik,,,,,,,,,,https://github.com/M365-Consultant,,,
124,Ondrej Sebela,187482908,,,https://www.linkedin.com/in/andrewztrhgf/,https://twitter.com/AndrewZtrhgf,,https://www.youtube.com/channel/UCcigPvq2YBVQcBaM6NEbSfA,,,https://github.com/ztrhgf/Powershell_CICD_repository,,https://doitpsway.com,
125,Toshit Bhardwaj,168485964,,,https://www.linkedin.com/in/toshitb/,https://twitter.com/techbytosh,,https://www.youtube.com/@TechByTosh,,,,,https://www.techbytosh.com/,
126,Friedrich Weinmann,,,,https://www.linkedin.com/in/friedrich-weinmann-1986ab102/,https://twitter.com/FredWeinmann,,,,,https://github.com/FriedrichWeinmann/EntraAuth,,https://allthingspowershell.blogspot.com/,
127,Elliot Munro,,,,https://www.linkedin.com/in/elliotmunro/,,,,,,,,,
128,Garth Jones,189234556,,,,https://twitter.com/garthmj,,https://www.youtube.com/@GarthJones2006,,,,,https://askgarth.com/,
129,Mohammed Sajid,189234232,,,https://www.linkedin.com/in/mohammed-sajid-01/,https://twitter.com/sajidcloud,,,,,,,https://sajidm.com,
130,Chris Beattie,705481,,,https://www.linkedin.com/in/cmbeattie/,https://twitter.com/jabbrwcky,https://infosec.exchange/@jabbrwcky,,,,,,https://chrisbt.me,
131,Rahul Jindal,,,,https://www.linkedin.com/in/rahul-jindal-8166a62b/,https://twitter.com/rahulj1906,,,,,,,https://rahuljindalmyit.blogspot.com/,
132,John Marcum,187872461,pjmarcum.bsky.social,did:plc:ronbllm7dyxbs4k45bwd3ljc,https://www.linkedin.com/in/john-marcum-84aa39132/,https://twitter.com/MEM_MVP,,,,,,,https://powerstacks.com/,
133,Michael Cade,,,,https://www.linkedin.com/in/michaelcade1/,https://twitter.com/MichaelCade1,,https://www.youtube.com/c/MichaelCade1,,,https://github.com/MichaelCade,,,
134,Elli Shlomo,,,,https://www.linkedin.com/in/elishlomo/,https://twitter.com/ellishlomo,,,,,,,https://cyberdom.blog,
135,"Pim Jacobs, Ronny de Jong",178278396,,,,,,https://www.youtube.com/@techtalkdudes4995,,,,,,
136,Steve Weiner,185122828,,,https://www.linkedin.com/in/stevew25/,,,,,,,,https://www.getrubix.com/,steve_weiner@outlook.com
137,MSEndpointMgr,132097553,,,,,,,,,,,https://msendpointmgr.com,
138,Martin Lingstuyl,77059208,,,https://www.linkedin.com/in/martinlingstuyl,https://twitter.com/martinlingstuyl,,,,,https://github.com/martinlingstuyl,,https://www.blimped.nl,
139,Wim Matthyssen,,,,https://www.linkedin.com/in/wim-matthyssen-9053737,https://twitter.com/wmatthyssen,,,,,https://github.com/wimmatthyssen,,https://wmatthyssen.com,
140,Peter van der Woude,396662,pvanderwoude.bsky.social,did:plc:mvb3b5gu4ic3tovzs46abmh5,https://www.linkedin.com/in/peterwoude,https://twitter.com/pvanderwoude,,,,,,,https://www.petervanderwoude.nl,
141,Julian Pawlowski,,,,https://www.linkedin.com/in/julianpawlowski,,https://chaos.social/@Loredo,,,,https://github.com/jpawlowski,,https://julian.pawlowski.me/,
142,Brian Baldock,188436866,,,https://www.linkedin.com/in/bbaldock/,,https://infosec.exchange/@brianbaldock,,,,https://github.com/brianbaldock,Yes,,brian.baldock@microsoft.com
143,Per-Torben Sørensen,187551833,per-torben.bsky.social,did:plc:6ha5cwyjyvsqodcq5karvm7x,https://www.linkedin.com/in/pertorbensorensen/,,,,,,,,https://agderinthe.cloud,Per-Torben@sorensen.ws
144,Christian Frohn,172665180,,,https://www.linkedin.com/in/frohn/,https://twitter.com/Christian_Frohn,,,,,https://github.com/ChrFrohn,,https://www.christianfrohn.dk,
145,Tommi Hovi,190765724,,,https://www.linkedin.com/in/tommi-hovi/,,,,,,https://github.com/tohov,,https://tommihovi.com,
146,ViaMonstra Online Academy,173500701,,,https://www.linkedin.com/showcase/viamonstra/,https://twitter.com/viamonstra,,,,,,,https://academy.viamonstra.com/,
147,sysadminafterdark,,,,,https://twitter.com/sysadafterdark,https://infosec.exchange/@sysadminafterdark,,,,https://github.com/sysadminafterdark,,https://docs.sysadminafterdark.com,
148,Justin Schoenfeld,190458693,,,https://www.linkedin.com/in/justinschoenfeld13/,,,,,,,,https://redcanary.com,
149,Nick Ross,171951557,,,https://www.linkedin.com/in/nick-ross-77781a82/,,,https://www.youtube.com/channel/UCePaXDDk5kl3g7FcJ5gH5AQ,,,,,https://tminus365.com/,
150,John Fitzpatrick,186907206,,,https://www.linkedin.com/in/john-fitzpatrick-754a216b/,https://twitter.com/j0hn__f,,,,,,,https://www.lab539.com,
151,Ewelina Paczkowska,190921583,,,https://www.linkedin.com/in/ewelina-paczkowska-a0bb00149/,https://twitter.com/WelkasWorld,,,,,,,https://www.welkasworld.com/,
152,Guido Baijense,190708193,,,https://www.linkedin.com/in/guidobaijense,,,,,,https://github.com/GuidoBaijense,,https://blog.pentiago365.nl,
153,Martin Heusser,,,,https://www.linkedin.com/in/martin-heusser117/,https://twitter.com/mozzeph,,,,,https://github.com/mozziemozz,,https://heusser.pro/,
154,Brian Veldman,190832666,brianveldman.bsky.social,did:plc:vas4pwrmee5km6uxox4zht5q,https://www.linkedin.com/in/brian-veldman/,,,,,,,,https://cloudtips.nl,
155,Rudy Mens,128826758,lazyadmin-nl.bsky.social,did:plc:qbj6h2hoh33zcf24o5eciguh,https://www.linkedin.com/in/rudymens,https://twitter.com/LazyAdmin/,,,,,https://github.com/ruudmens,,https://lazyadmin.nl,
156,Matej Klemenčič,191034992,,,https://www.linkedin.com/in/matejklemencic/,,,,,,,,https://www.matej.guru/,
